[2021-01-08 11:01:22]
Claim_id：619 未改變，狀態：[繳息還款] 
Claim_id：620 未改變，狀態：[繳息還款] 
Claim_id：621 未改變，狀態：[繳息還款] 
Claim_id：622 未改變，狀態：[繳息還款] 
Claim_id：623 未改變，狀態：[繳息還款] 
Claim_id：624 未改變，狀態：[繳息還款] 
Claim_id：625 未改變，狀態：[繳息還款] 
Claim_id：626 未改變，狀態：[繳息還款] 
Claim_id：627 未改變，狀態：[繳息還款] 
Claim_id：628 未改變，狀態：[繳息還款] 
Claim_id：629 未改變，狀態：[繳息還款] 
Claim_id：630 未改變，狀態：[繳息還款] 
Claim_id：631 未改變，狀態：[繳息還款] 
Claim_id：632 未改變，狀態：[繳息還款] 
Claim_id：634 未改變，狀態：[繳息還款] 
Claim_id：635 未改變，狀態：[繳息還款] 
Claim_id：636 未改變，狀態：[繳息還款] 
Claim_id：637 未改變，狀態：[繳息還款] 
Claim_id：638 未改變，狀態：[繳息還款] 
Claim_id：639 未改變，狀態：[繳息還款] 
Claim_id：640 未改變，狀態：[繳息還款] 
Claim_id：641 未改變，狀態：[繳息還款] 
Claim_id：642 未改變，狀態：[繳息還款] 
Claim_id：643 未改變，狀態：[繳息還款] 
Claim_id：644 未改變，狀態：[繳息還款] 
Claim_id：645 未改變，狀態：[繳息還款] 
Claim_id：646 未改變，狀態：[繳息還款] 
Claim_id：647 未改變，狀態：[繳息還款] 
Claim_id：648 未改變，狀態：[繳息還款] 
Claim_id：649 未改變，狀態：[繳息還款] 
Claim_id：650 未改變，狀態：[繳息還款] 
Claim_id：651 未改變，狀態：[繳息還款] 
Claim_id：652 未改變，狀態：[繳息還款] 
Claim_id：653 未改變，狀態：[繳息還款] 
Claim_id：654 未改變，狀態：[繳息還款] 
Claim_id：655 未改變，狀態：[繳息還款] 
Claim_id：656 未改變，狀態：[繳息還款] 
Claim_id：657 未改變，狀態：[繳息還款] 
Claim_id：658 未改變，狀態：[繳息還款] 
Claim_id：660 未改變，狀態：[繳息還款] 
Claim_id：661 未改變，狀態：[繳息還款] 
Claim_id：662 未改變，狀態：[繳息還款] 
Claim_id：663 未改變，狀態：[繳息還款] 
Claim_id：664 未改變，狀態：[繳息還款] 
Claim_id：665 未改變，狀態：[繳息還款] 
Claim_id：667 未改變，狀態：[繳息還款] 
Claim_id：669 未改變，狀態：[繳息還款] 
Claim_id：671 未改變，狀態：[繳息還款] 
Claim_id：672 未改變，狀態：[繳息還款] 
Claim_id：674 未改變，狀態：[繳息還款] 
Claim_id：675 未改變，狀態：[繳息還款] 
Claim_id：676 未改變，狀態：[繳息還款] 
Claim_id：677 未改變，狀態：[繳息還款] 
Claim_id：678 未改變，狀態：[繳息還款] 
Claim_id：679 未改變，狀態：[繳息還款] 
Claim_id：680 未改變，狀態：[繳息還款] 
Claim_id：682 未改變，狀態：[繳息還款] 
Claim_id：683 未改變，狀態：[繳息還款] 
Claim_id：686 未改變，狀態：[繳息還款] 
Claim_id：687 未改變，狀態：[繳息還款] 
Claim_id：689 未改變，狀態：[繳息還款] 
Claim_id：692 未改變，狀態：[繳息還款] 
Claim_id：693 未改變，狀態：[繳息還款] 
Claim_id：694 未改變，狀態：[繳息還款] 
Claim_id：695 未改變，狀態：[繳息還款] 
Claim_id：696 未改變，狀態：[繳息還款] 
Claim_id：701 未改變，狀態：[繳息還款] 
Claim_id：702 未改變，狀態：[繳息還款] 
Claim_id：703 未改變，狀態：[繳息還款] 
Claim_id：708 未改變，狀態：[繳息還款] 
Claim_id：709 未改變，狀態：[繳息還款] 
Claim_id：713 未改變，狀態：[繳息還款] 
Claim_id：714 未改變，狀態：[繳息還款] 
Claim_id：732 未改變，狀態：[繳息還款] 
Claim_id：733 未改變，狀態：[繳息還款] 
Claim_id：734 未改變，狀態：[繳息還款] 
Claim_id：735 未改變，狀態：[繳息還款] 
Claim_id：736 未改變，狀態：[繳息還款] 
Claim_id：737 未改變，狀態：[繳息還款] 
Claim_id：741 未改變，狀態：[繳息還款] 
Claim_id：742 未改變，狀態：[繳息還款] 
Claim_id：743 未改變，狀態：[繳息還款] 
Claim_id：744 未改變，狀態：[繳息還款] 
Claim_id：745 未改變，狀態：[繳息還款] 
Claim_id：746 未改變，狀態：[繳息還款] 
Claim_id：747 未改變，狀態：[繳息還款] 
Claim_id：748 未改變，狀態：[繳息還款] 
Claim_id：759 未改變，狀態：[繳息還款] 
Claim_id：760 未改變，狀態：[繳息還款] 
Claim_id：762 未改變，狀態：[繳息還款] 
Claim_id：763 未改變，狀態：[繳息還款] 
Claim_id：765 未改變，狀態：[繳息還款] 
Claim_id：767 未改變，狀態：[繳息還款] 
Claim_id：768 未改變，狀態：[繳息還款] 
Claim_id：771 未改變，狀態：[繳息還款] 
Claim_id：772 未改變，狀態：[繳息還款] 
Claim_id：774 未改變，狀態：[繳息還款] 
Claim_id：775 未改變，狀態：[繳息還款] 
Claim_id：777 未改變，狀態：[繳息還款] 
Claim_id：779 未改變，狀態：[繳息還款] 
Claim_id：780 未改變，狀態：[繳息還款] 
Claim_id：781 未改變，狀態：[繳息還款] 
Claim_id：782 未改變，狀態：[繳息還款] 
Claim_id：783 未改變，狀態：[繳息還款] 
Claim_id：784 未改變，狀態：[繳息還款] 
Claim_id：789 未改變，狀態：[繳息還款] 
Claim_id：790 未改變，狀態：[繳息還款] 
Claim_id：791 未改變，狀態：[繳息還款] 
Claim_id：795 未改變，狀態：[繳息還款] 
Claim_id：796 未改變，狀態：[繳息還款] 
Claim_id：797 未改變，狀態：[繳息還款] 
Claim_id：798 未改變，狀態：[繳息還款] 
Claim_id：799 未改變，狀態：[繳息還款] 
Claim_id：800 未改變，狀態：[繳息還款] 
Claim_id：801 未改變，狀態：[繳息還款] 
Claim_id：803 未改變，狀態：[繳息還款] 
Claim_id：804 未改變，狀態：[繳息還款] 
Claim_id：805 未改變，狀態：[繳息還款] 
Claim_id：806 未改變，狀態：[繳息還款] 
Claim_id：807 未改變，狀態：[繳息還款] 
Claim_id：808 未改變，狀態：[繳息還款] 
Claim_id：809 未改變，狀態：[繳息還款] 
Claim_id：810 未改變，狀態：[繳息還款] 
Claim_id：811 未改變，狀態：[繳息還款] 
Claim_id：812 未改變，狀態：[繳息還款] 
Claim_id：813 未改變，狀態：[繳息還款] 
Claim_id：814 未改變，狀態：[繳息還款] 
Claim_id：815 未改變，狀態：[繳息還款] 
Claim_id：816 未改變，狀態：[繳息還款] 
Claim_id：817 未改變，狀態：[繳息還款] 
Claim_id：818 未改變，狀態：[繳息還款] 
Claim_id：819 未改變，狀態：[繳息還款] 
Claim_id：820 未改變，狀態：[繳息還款] 
Claim_id：821 未改變，狀態：[繳息還款] 
Claim_id：822 未改變，狀態：[繳息還款] 
Claim_id：823 未改變，狀態：[繳息還款] 
Claim_id：824 未改變，狀態：[繳息還款] 
Claim_id：825 未改變，狀態：[繳息還款] 
Claim_id：826 未改變，狀態：[繳息還款] 
Claim_id：827 未改變，狀態：[繳息還款] 
Claim_id：829 未改變，狀態：[繳息還款] 
Claim_id：830 未改變，狀態：[繳息還款] 
Claim_id：831 未改變，狀態：[繳息還款] 
Claim_id：832 未改變，狀態：[繳息還款] 
Claim_id：833 未改變，狀態：[繳息還款] 
Claim_id：835 未改變，狀態：[繳息還款] 
Claim_id：836 未改變，狀態：[繳息還款] 
Claim_id：840 未改變，狀態：[繳息還款] 
Claim_id：841 未改變，狀態：[繳息還款] 
Claim_id：842 未改變，狀態：[繳息還款] 
Claim_id：843 未改變，狀態：[繳息還款] 
Claim_id：847 未改變，狀態：[繳息還款] 
Claim_id：848 未改變，狀態：[繳息還款] 
Claim_id：849 未改變，狀態：[繳息還款] 
Claim_id：851 未改變，狀態：[繳息還款] 
Claim_id：852 未改變，狀態：[繳息還款] 
Claim_id：853 未改變，狀態：[繳息還款] 
Claim_id：854 未改變，狀態：[繳息還款] 
Claim_id：855 未改變，狀態：[繳息還款] 
Claim_id：859 未改變，狀態：[繳息還款] 
Claim_id：860 未改變，狀態：[繳息還款] 
Claim_id：861 未改變，狀態：[繳息還款] 
Claim_id：862 未改變，狀態：[繳息還款] 
Claim_id：863 未改變，狀態：[繳息還款] 
Claim_id：864 未改變，狀態：[繳息還款] 
Claim_id：867 未改變，狀態：[繳息還款] 
Claim_id：868 未改變，狀態：[繳息還款] 
Claim_id：869 未改變，狀態：[繳息還款] 
Claim_id：870 未改變，狀態：[繳息還款] 
Claim_id：871 未改變，狀態：[繳息還款] 
Claim_id：872 未改變，狀態：[繳息還款] 
Claim_id：873 未改變，狀態：[繳息還款] 
Claim_id：875 未改變，狀態：[繳息還款] 
Claim_id：876 未改變，狀態：[繳息還款] 
Claim_id：877 未改變，狀態：[繳息還款] 
Claim_id：880 未改變，狀態：[繳息還款] 
Claim_id：881 未改變，狀態：[繳息還款] 
Claim_id：882 未改變，狀態：[繳息還款] 
Claim_id：883 未改變，狀態：[繳息還款] 
Claim_id：885 未改變，狀態：[繳息還款] 
Claim_id：887 未改變，狀態：[繳息還款] 
Claim_id：888 未改變，狀態：[繳息還款] 
Claim_id：889 未改變，狀態：[繳息還款] 
Claim_id：890 未改變，狀態：[繳息還款] 
Claim_id：894 未改變，狀態：[繳息還款] 
Claim_id：895 未改變，狀態：[繳息還款] 
Claim_id：896 未改變，狀態：[繳息還款] 
Claim_id：897 未改變，狀態：[繳息還款] 
Claim_id：898 未改變，狀態：[繳息還款] 
Claim_id：899 未改變，狀態：[繳息還款] 
Claim_id：900 未改變，狀態：[繳息還款] 
Claim_id：903 未改變，狀態：[繳息還款] 
Claim_id：905 未改變，狀態：[繳息還款] 
Claim_id：906 未改變，狀態：[繳息還款] 
Claim_id：907 未改變，狀態：[繳息還款] 
Claim_id：909 未改變，狀態：[繳息還款] 
Claim_id：910 未改變，狀態：[繳息還款] 
Claim_id：911 未改變，狀態：[繳息還款] 
Claim_id：912 未改變，狀態：[繳息還款] 
Claim_id：913 未改變，狀態：[繳息還款] 
Claim_id：914 未改變，狀態：[繳息還款] 
Claim_id：915 未改變，狀態：[繳息還款] 
Claim_id：916 未改變，狀態：[繳息還款] 
Claim_id：917 未改變，狀態：[繳息還款] 
Claim_id：918 未改變，狀態：[繳息還款] 
Claim_id：919 未改變，狀態：[繳息還款] 
Claim_id：920 未改變，狀態：[繳息還款] 
Claim_id：921 未改變，狀態：[繳息還款] 
Claim_id：922 未改變，狀態：[繳息還款] 
Claim_id：923 未改變，狀態：[繳息還款] 
Claim_id：924 未改變，狀態：[繳息還款] 
Claim_id：925 未改變，狀態：[繳息還款] 
Claim_id：926 未改變，狀態：[繳息還款] 
Claim_id：927 未改變，狀態：[繳息還款] 
Claim_id：928 未改變，狀態：[繳息還款] 
Claim_id：929 未改變，狀態：[繳息還款] 
Claim_id：930 未改變，狀態：[繳息還款] 
Claim_id：931 未改變，狀態：[繳息還款] 
Claim_id：932 未改變，狀態：[繳息還款] 
Claim_id：933 未改變，狀態：[繳息還款] 
Claim_id：934 未改變，狀態：[繳息還款] 
Claim_id：935 未改變，狀態：[繳息還款] 
Claim_id：936 未改變，狀態：[繳息還款] 
Claim_id：937 未改變，狀態：[繳息還款] 
Claim_id：938 未改變，狀態：[繳息還款] 
Claim_id：939 未改變，狀態：[繳息還款] 
Claim_id：940 未改變，狀態：[繳息還款] 
Claim_id：941 未改變，狀態：[繳息還款] 
Claim_id：942 未改變，狀態：[繳息還款] 
Claim_id：943 未改變，狀態：[繳息還款] 
Claim_id：944 未改變，狀態：[繳息還款] 
Claim_id：945 未改變，狀態：[繳息還款] 
Claim_id：946 未改變，狀態：[繳息還款] 
Claim_id：947 未改變，狀態：[繳息還款] 
Claim_id：948 未改變，狀態：[繳息還款] 
Claim_id：949 未改變，狀態：[繳息還款] 
Claim_id：950 未改變，狀態：[繳息還款] 
Claim_id：951 未改變，狀態：[繳息還款] 
Claim_id：952 未改變，狀態：[繳息還款] 
Claim_id：953 未改變，狀態：[繳息還款] 
Claim_id：954 未改變，狀態：[繳息還款] 
Claim_id：955 未改變，狀態：[繳息還款] 
Claim_id：956 未改變，狀態：[繳息還款] 
Claim_id：957 未改變，狀態：[繳息還款] 
Claim_id：958 未改變，狀態：[繳息還款] 
Claim_id：959 未改變，狀態：[繳息還款] 
Claim_id：960 未改變，狀態：[繳息還款] 
Claim_id：962 未改變，狀態：[繳息還款] 
Claim_id：963 未改變，狀態：[繳息還款] 
Claim_id：965 未改變，狀態：[繳息還款] 
Claim_id：967 未改變，狀態：[繳息還款] 
Claim_id：969 未改變，狀態：[繳息還款] 
Claim_id：970 未改變，狀態：[繳息還款] 
Claim_id：971 未改變，狀態：[繳息還款] 
Claim_id：972 未改變，狀態：[繳息還款] 
Claim_id：974 未改變，狀態：[繳息還款] 
Claim_id：975 未改變，狀態：[繳息還款] 
Claim_id：976 未改變，狀態：[繳息還款] 
Claim_id：977 未改變，狀態：[繳息還款] 
Claim_id：978 未改變，狀態：[繳息還款] 
Claim_id：979 未改變，狀態：[繳息還款] 
Claim_id：980 未改變，狀態：[繳息還款] 
Claim_id：981 未改變，狀態：[繳息還款] 
Claim_id：982 未改變，狀態：[繳息還款] 
Claim_id：983 未改變，狀態：[繳息還款] 
Claim_id：984 未改變，狀態：[繳息還款] 
Claim_id：985 未改變，狀態：[繳息還款] 
Claim_id：986 未改變，狀態：[繳息還款] 
Claim_id：987 未改變，狀態：[繳息還款] 
Claim_id：988 未改變，狀態：[繳息還款] 
Claim_id：989 未改變，狀態：[繳息還款] 
Claim_id：990 未改變，狀態：[繳息還款] 
Claim_id：991 未改變，狀態：[繳息還款] 
Claim_id：992 未改變，狀態：[繳息還款] 
Claim_id：993 未改變，狀態：[繳息還款] 
Claim_id：994 未改變，狀態：[繳息還款] 
Claim_id：995 未改變，狀態：[繳息還款] 
Claim_id：996 未改變，狀態：[繳息還款] 
Claim_id：997 未改變，狀態：[繳息還款] 
Claim_id：998 未改變，狀態：[繳息還款] 
Claim_id：999 未改變，狀態：[繳息還款] 
Claim_id：1000 未改變，狀態：[繳息還款] 
Claim_id：1001 未改變，狀態：[繳息還款] 
Claim_id：1002 未改變，狀態：[繳息還款] 
Claim_id：1003 未改變，狀態：[繳息還款] 
Claim_id：1004 未改變，狀態：[繳息還款] 
Claim_id：1005 未改變，狀態：[繳息還款] 
Claim_id：1006 未改變，狀態：[繳息還款] 
Claim_id：1007 未改變，狀態：[繳息還款] 
Claim_id：1008 未改變，狀態：[繳息還款] 
Claim_id：1009 未改變，狀態：[繳息還款] 
Claim_id：1010 未改變，狀態：[繳息還款] 
Claim_id：1011 未改變，狀態：[繳息還款] 
Claim_id：1012 未改變，狀態：[繳息還款] 
Claim_id：1015 未改變，狀態：[繳息還款] 
Claim_id：1016 未改變，狀態：[繳息還款] 
Claim_id：1017 未改變，狀態：[繳息還款] 
Claim_id：1018 未改變，狀態：[繳息還款] 
Claim_id：1022 未改變，狀態：[繳息還款] 
Claim_id：1023 未改變，狀態：[繳息還款] 
Claim_id：1024 未改變，狀態：[繳息還款] 
Claim_id：1026 未改變，狀態：[繳息還款] 
Claim_id：1027 未改變，狀態：[繳息還款] 
Claim_id：1029 未改變，狀態：[繳息還款] 
Claim_id：1030 未改變，狀態：[繳息還款] 
Claim_id：1031 未改變，狀態：[繳息還款] 
Claim_id：1033 未改變，狀態：[繳息還款] 
Claim_id：1034 未改變，狀態：[繳息還款] 
Claim_id：1039 未改變，狀態：[繳息還款] 
Claim_id：1042 未改變，狀態：[繳息還款] 
Claim_id：1044 未改變，狀態：[繳息還款] 
Claim_id：1050 未改變，狀態：[繳息還款] 
Claim_id：1051 未改變，狀態：[繳息還款] 
Claim_id：1053 未改變，狀態：[繳息還款] 
Claim_id：1055 未改變，狀態：[繳息還款] 
Claim_id：1057 未改變，狀態：[繳息還款] 
Claim_id：1060 未改變，狀態：[繳息還款] 
Claim_id：1062 未改變，狀態：[繳息還款] 
Claim_id：1064 未改變，狀態：[繳息還款] 
Claim_id：1066 未改變，狀態：[繳息還款] 
Claim_id：1067 未改變，狀態：[繳息還款] 
Claim_id：1070 未改變，狀態：[繳息還款] 
Claim_id：1094 未改變，狀態：[繳息還款] 
Claim_id：1095 未改變，狀態：[繳息還款] 
Claim_id：1097 未改變，狀態：[繳息還款] 
Claim_id：1099 未改變，狀態：[繳息還款] 
Claim_id：1102 未改變，狀態：[繳息還款] 
Claim_id：1103 未改變，狀態：[繳息還款] 
Claim_id：1104 未改變，狀態：[繳息還款] 
Claim_id：1108 未改變，狀態：[繳息還款] 
Claim_id：1110 未改變，狀態：[繳息還款] 
Claim_id：1111 未改變，狀態：[繳息還款] 
Claim_id：1112 未改變，狀態：[繳息還款] 
Claim_id：1113 未改變，狀態：[繳息還款] 
Claim_id：1114 未改變，狀態：[繳息還款] 
Claim_id：1115 未改變，狀態：[繳息還款] 
Claim_id：1116 未改變，狀態：[繳息還款] 
Claim_id：1117 未改變，狀態：[繳息還款] 
Claim_id：1141 未改變，狀態：[繳息還款] 
Claim_id：1142 未改變，狀態：[繳息還款] 
Claim_id：1143 未改變，狀態：[繳息還款] 
Claim_id：1144 未改變，狀態：[繳息還款] 
Claim_id：1145 未改變，狀態：[繳息還款] 
Claim_id：1146 未改變，狀態：[繳息還款] 
Claim_id：1147 未改變，狀態：[繳息還款] 
Claim_id：1148 未改變，狀態：[繳息還款] 
Claim_id：1149 未改變，狀態：[繳息還款] 
Claim_id：1150 未改變，狀態：[繳息還款] 
Claim_id：1151 未改變，狀態：[繳息還款] 
Claim_id：1152 未改變，狀態：[繳息還款] 
Claim_id：1153 未改變，狀態：[繳息還款] 
Claim_id：1154 未改變，狀態：[繳息還款] 
Claim_id：1155 未改變，狀態：[繳息還款] 
Claim_id：1156 未改變，狀態：[繳息還款] 
Claim_id：1157 未改變，狀態：[繳息還款] 
Claim_id：1158 未改變，狀態：[繳息還款] 
Claim_id：1159 未改變，狀態：[繳息還款] 
Claim_id：1160 未改變，狀態：[繳息還款] 
Claim_id：1161 未改變，狀態：[繳息還款] 
Claim_id：1163 未改變，狀態：[繳息還款] 
Claim_id：1164 未改變，狀態：[繳息還款] 
Claim_id：1165 未改變，狀態：[繳息還款] 
Claim_id：1166 未改變，狀態：[繳息還款] 
Claim_id：1167 未改變，狀態：[繳息還款] 
Claim_id：1169 未改變，狀態：[繳息還款] 
Claim_id：1170 未改變，狀態：[繳息還款] 
Claim_id：1173 未改變，狀態：[繳息還款] 
Claim_id：1180 未改變，狀態：[繳息還款] 
Claim_id：1181 未改變，狀態：[繳息還款] 
Claim_id：1187 未改變，狀態：[繳息還款] 
Claim_id：1188 未改變，狀態：[繳息還款] 
Claim_id：1189 未改變，狀態：[繳息還款] 
Claim_id：1190 未改變，狀態：[繳息還款] 
Claim_id：1191 未改變，狀態：[繳息還款] 
Claim_id：1192 未改變，狀態：[繳息還款] 
Claim_id：1223 未改變，狀態：[繳息還款] 
Claim_id：1226 未改變，狀態：[繳息還款] 
Claim_id：1229 未改變，狀態：[繳息還款] 
Claim_id：1230 未改變，狀態：[繳息還款] 
Claim_id：1231 未改變，狀態：[繳息還款] 
Claim_id：1232 未改變，狀態：[繳息還款] 
Claim_id：1233 未改變，狀態：[繳息還款] 
Claim_id：1234 未改變，狀態：[繳息還款] 
Claim_id：1235 未改變，狀態：[繳息還款] 
Claim_id：1236 未改變，狀態：[繳息還款] 
Claim_id：1237 未改變，狀態：[繳息還款] 
Claim_id：1238 未改變，狀態：[繳息還款] 
Claim_id：1240 未改變，狀態：[繳息還款] 
Claim_id：1241 未改變，狀態：[繳息還款] 
Claim_id：1242 未改變，狀態：[繳息還款] 
Claim_id：1243 未改變，狀態：[繳息還款] 
Claim_id：1245 未改變，狀態：[繳息還款] 
Claim_id：1246 未改變，狀態：[繳息還款] 
Claim_id：1247 未改變，狀態：[繳息還款] 
Claim_id：1249 未改變，狀態：[繳息還款] 
Claim_id：1250 未改變，狀態：[繳息還款] 
Claim_id：1251 未改變，狀態：[繳息還款] 
Claim_id：1252 未改變，狀態：[繳息還款] 
Claim_id：1254 未改變，狀態：[繳息還款] 
Claim_id：1255 未改變，狀態：[繳息還款] 
Claim_id：1256 未改變，狀態：[繳息還款] 
Claim_id：1257 未改變，狀態：[繳息還款] 
Claim_id：1258 未改變，狀態：[繳息還款] 
